Word,"CONTROL_SOBOLEVSKY","KIREEVSKY","PESENNIKI","RUSCORPORA","RUSSKIE_PESNI","SOBOLEVSKY"
"ярый",0.0208628891,0.0064300928,0.0097727828,0.0038536058,0.0126547953,0.0091703157
"бес",0,0,0.0097727828,0.0071184663,0.0018078279,0.0009552412
"возмущать",0.0041725778,0.0016075232,0.0048863914,0.0064761986,0,0.0030567719
"дед",0,0,0,0.0072790332,0,0.0009552412
"денежки",0.0083451556,0.0233090865,0.0048863914,0.0004817007,0,0.0191048244
"жалко",0.0208628891,0.0088413776,0,0.0033719051,0.0090391395,0.0108897499
"жаловать",0,0.0064300928,0.0146591742,0.0008028345,0.0090391395,0.0210153068
"невежда",0,0,0,0.0075466447,0,0
"позвать",0.0125177335,0.0104489009,0.0097727828,0.003532472,0,0.0108897499
"простор",0,0,0.0048863914,0.0073860778,0.0018078279,0.0001910482
"пуля",0,0.0016075232,0.0048863914,0.0046564403,0.0162704511,0.0080240262
"ступень",0,0,0.0048863914,0.0059944979,0,0.0053493508
"сулить",0,0.0008037616,0.0048863914,0.0055127972,0.0054234837,0.006304592
"товар",0.0041725778,0.0144677089,0.0097727828,0.0037465612,0.0054234837,0.0089792674
"трудно",0.0041725778,0.0024112848,0,0.0070114217,0,0.0011462895
"барыня",0.0083451556,0.0056263312,0.073295871,0.0024620259,0,0.013373377
"девять",0,0.0120564241,0,0.0013915799,0.0018078279,0.0187227279
