"CONTROL_SOBOLEVSKY_1" "CONTROL_SOBOLEVSKY_2" "CONTROL_SOBOLEVSKY_3" "KIREEVSKY_1" "KIREEVSKY_2" "KIREEVSKY_3" "PESENNIKI_1" "PESENNIKI_2" "PESENNIKI_3" "RUSCORPORA_1" "RUSCORPORA_2" "RUSCORPORA_3" "RUSSKIE_PESNI_1" "RUSSKIE_PESNI_2" "RUSSKIE_PESNI_3" "SOBOLEVSKY_1" "SOBOLEVSKY_2" "SOBOLEVSKY_3"
"иметь" 0 0 0 0 0.02 0.02 0 0.03 0.01 0.07 0.03 0.06 0.01 0.02 0 0.01 0.02 0.01
"каждый" 0 0 0 0 0.01 0 0.02 0.01 0.02 0.05 0.03 0.05 0.02 0.03 0.05 0.02 0 0
"колечко" 0.01 0 0.03 0.02 0 0.02 0.03 0.03 0.02 0 0 0 0.03 0.03 0.03 0.04 0.01 0.01
"кукушка" 0.03 0.04 0.01 0.02 0.04 0.03 0.02 0.03 0.02 0 0 0.01 0.01 0.01 0.01 0.01 0.01 0.01
"лук" 0 0 0.01 0 0.01 0 0.07 0.06 0.07 0.01 0 0.02 0.02 0 0.01 0.01 0.01 0.01
"мати" 0.02 0.04 0.05 0 0 0 0.07 0.04 0.03 0 0 0 0 0 0 0 0.04 0.02
"мелкий" 0.04 0.03 0.02 0.01 0.01 0.01 0.05 0.02 0.02 0 0 0 0 0 0 0.04 0.02 0.04
"несчастие" 0.01 0.01 0.02 0.03 0.01 0 0.03 0.02 0.03 0.01 0.01 0.01 0 0.02 0.03 0.02 0.02 0.03
"платочек" 0 0 0 0.03 0.05 0.03 0.04 0.05 0.02 0 0 0 0.02 0.01 0 0.01 0.03 0.02
"плечо" 0.02 0.01 0.03 0 0.02 0 0 0.01 0 0.01 0.07 0.02 0.02 0.01 0 0.04 0.04 0.01
"подходить" 0.01 0.01 0 0.04 0 0.02 0.02 0.01 0.03 0.01 0 0.03 0.01 0 0.01 0.03 0.06 0.02
"поздно" 0 0 0 0.01 0.03 0.05 0.02 0.03 0.02 0.01 0 0 0.03 0.05 0.01 0.01 0.03 0.01
"помогать" 0.04 0.04 0.05 0 0.01 0 0.01 0 0 0.03 0.01 0.03 0.02 0.01 0.02 0.02 0.01 0.01
"приговаривать" 0.01 0.02 0.03 0 0.01 0.02 0.02 0.03 0.02 0 0.01 0 0.01 0.03 0.01 0.03 0.02 0.04
"ручей" 0 0 0 0 0.01 0 0.04 0.04 0.02 0.03 0.05 0.01 0.07 0.02 0.01 0 0.01 0
"страсть" 0 0 0 0 0.01 0 0.01 0 0 0.06 0.09 0.05 0.02 0.03 0.02 0 0.01 0.01
"сюда" 0 0 0.03 0 0.01 0.03 0.03 0.02 0.03 0 0 0.03 0.03 0.02 0.01 0.02 0.03 0.02
"бесталанный" 0 0 0 0 0 0.01 0.07 0.06 0.08 0 0 0 0 0.03 0.03 0.01 0.01 0
"венок" 0.01 0.01 0.01 0.02 0.01 0.04 0.01 0.03 0.03 0.02 0 0.02 0.01 0.02 0.01 0.03 0 0.02
"весточка" 0.01 0 0.01 0 0.01 0 0.01 0.04 0.03 0 0 0 0.07 0.07 0.02 0 0.02 0.01
"взглядывать" 0.01 0.02 0 0 0 0 0.02 0.01 0 0.01 0.05 0.09 0 0.05 0.02 0 0.01 0.01
"вкруг" 0.01 0.03 0.03 0 0 0.01 0.01 0.01 0.01 0.01 0.02 0.04 0.03 0.03 0.01 0.01 0.03 0.01
"ворона" 0.01 0.01 0.01 0 0.01 0.01 0.05 0.04 0.06 0 0.01 0 0 0 0 0.04 0.02 0.03
"греметь" 0.03 0.04 0.03 0.02 0.01 0.01 0.01 0.01 0.01 0.04 0.04 0.04 0 0 0 0.01 0 0
"дверь" 0 0 0 0 0.01 0 0.03 0.03 0.03 0.06 0.01 0.03 0 0.02 0.02 0.01 0.02 0.03
"доставаться" 0 0 0 0.04 0.01 0.01 0.02 0.03 0.02 0 0 0 0 0.03 0.01 0.05 0.04 0.04
"калинушка" 0.05 0.03 0.02 0.01 0.02 0.04 0.02 0.01 0.04 0 0 0 0 0 0 0.01 0.01 0.04
"кручинушка" 0.01 0.01 0.02 0.02 0.02 0.01 0.01 0.01 0 0 0 0 0.06 0.04 0.03 0.02 0.01 0.03
"крылечко" 0.01 0.02 0.02 0 0.01 0.01 0.05 0.03 0.02 0 0 0 0 0 0.02 0.04 0.03 0.04
"куковать" 0.04 0.02 0.03 0.04 0.07 0.01 0 0.02 0.04 0 0 0 0 0.01 0.01 0 0.01 0
"лазоревый" 0.01 0.01 0 0.02 0.01 0.03 0.02 0.02 0.02 0.01 0 0.01 0.02 0.04 0.01 0.04 0.02 0.01
"малина" 0.03 0.04 0.02 0.03 0.01 0.03 0.04 0.02 0.02 0 0 0 0.01 0 0 0.03 0.01 0.01
"между" 0.02 0 0 0.03 0.01 0.04 0 0.01 0 0.03 0.04 0.1 0 0 0 0 0 0.02
"молодушка" 0.02 0.05 0.03 0.04 0.02 0.02 0 0.01 0.03 0 0 0 0 0.02 0 0.01 0.04 0.01
"мост" 0.01 0.03 0.02 0 0 0 0.04 0.05 0.05 0 0.01 0 0.02 0 0.02 0 0.03 0.02
"опять" 0.01 0 0 0 0 0 0 0 0.01 0.03 0.06 0.05 0.04 0.02 0.05 0.01 0.01 0.01
"острый" 0.01 0.02 0 0 0.02 0 0.01 0 0.01 0.01 0.03 0.01 0.04 0.03 0.03 0.03 0.03 0.02
"плясать" 0 0.03 0.01 0.03 0.01 0 0.02 0.02 0.05 0.02 0.01 0 0.01 0.01 0 0.05 0.03 0
"покой" 0 0 0 0.01 0 0 0 0.04 0.02 0.04 0.04 0.05 0.02 0.03 0.04 0 0 0.01
"поставлять" 0 0.02 0.02 0.05 0.02 0.01 0.02 0.02 0.02 0.03 0 0.02 0.01 0.02 0 0.01 0.02 0.01
"рассказывать" 0.01 0.04 0.03 0 0 0.01 0 0 0 0.02 0.05 0.02 0.03 0.01 0.05 0.02 0.01 0
"роза" 0.01 0 0 0 0 0 0.02 0.01 0.01 0.06 0.04 0.09 0 0.03 0.02 0 0 0.01
"старик" 0.03 0.03 0.01 0.01 0.01 0.01 0.01 0.02 0.01 0.05 0.02 0.04 0.02 0 0.01 0 0 0.02
"тепло" 0 0.01 0 0.04 0.04 0.02 0 0.01 0.03 0 0.02 0.01 0.02 0.03 0.02 0.01 0.03 0.01
"теплый" 0.02 0.02 0.02 0.02 0.02 0.02 0.01 0.02 0.01 0.01 0.01 0 0.03 0.04 0.01 0.02 0.01 0.01
"терпеть" 0.01 0.03 0.01 0.02 0.01 0.02 0.02 0.03 0.03 0 0.01 0.02 0.02 0.03 0.02 0.01 0.01 0
"хлеб" 0.03 0.03 0.03 0.01 0.02 0 0.01 0.01 0 0 0 0.02 0.01 0.02 0.03 0.05 0.02 0.01
"четвертый" 0.03 0.02 0.06 0.03 0.05 0.04 0.01 0.01 0.01 0 0 0 0.01 0 0 0.01 0 0.02
"вечно" 0 0 0 0.01 0.01 0 0.06 0.03 0.05 0.01 0.03 0.01 0.04 0.03 0 0 0 0.01
"выпивать" 0.02 0.01 0.02 0 0.01 0.01 0.03 0.02 0.04 0.01 0 0 0 0 0 0.01 0.06 0.05
"вышивать" 0.06 0.06 0.03 0.01 0 0.04 0 0.02 0.02 0 0 0 0 0.01 0 0.01 0.01 0.02
"вязать" 0.04 0.03 0.03 0.02 0.02 0.03 0.01 0.01 0.04 0 0 0 0 0 0 0.02 0 0.04
"головка" 0.02 0.02 0.01 0 0 0.01 0 0.03 0.02 0.01 0.01 0 0.04 0.02 0.02 0.03 0.01 0.04
"делать" 0.02 0.01 0.02 0.01 0 0.01 0.03 0.01 0.02 0.04 0.01 0.01 0.03 0.03 0.01 0.01 0 0.02
"дубовый" 0.02 0 0.01 0.02 0.03 0.03 0.02 0.02 0.05 0 0 0 0.01 0.01 0.01 0.03 0.01 0.02
"желтый" 0.01 0.01 0.01 0.03 0.06 0.04 0.01 0.02 0 0 0 0 0 0.01 0.03 0.03 0.01 0.02
"захотеть" 0.04 0.04 0.04 0.01 0 0 0.01 0 0.01 0.02 0 0.03 0.01 0.01 0.01 0.02 0.03 0.01
"кипеть" 0 0 0 0 0.01 0.02 0.02 0.01 0.03 0.05 0.04 0.03 0.03 0.02 0.02 0.01 0 0
"легкий" 0.01 0.02 0.02 0.02 0.04 0.02 0.02 0.02 0 0.03 0.01 0.02 0.02 0.01 0.02 0 0.01 0
"ловить" 0.02 0.01 0.02 0.02 0 0.02 0.03 0.03 0.02 0 0.01 0 0 0.01 0.01 0.03 0.02 0.04
"мальчик" 0.03 0.03 0.03 0.05 0.03 0.01 0.01 0.01 0.02 0.01 0 0.02 0 0 0 0.01 0.03 0
"отвечать" 0.01 0.04 0.01 0.02 0 0.01 0 0 0 0.02 0.03 0.03 0.02 0.01 0.03 0.01 0.03 0.02
"поводить" 0.01 0.02 0.01 0 0 0 0.05 0.04 0.05 0 0 0.01 0.01 0 0.01 0.02 0.02 0.04
"погубить" 0.01 0.02 0.02 0.01 0.01 0 0.03 0.03 0.03 0.01 0 0.01 0.02 0.03 0.01 0.02 0.03 0
"поп" 0.01 0.03 0.01 0.05 0.04 0 0.02 0.03 0.02 0.01 0 0 0 0 0 0.01 0 0.06
"послушать" 0.01 0.01 0.01 0.01 0 0.01 0.02 0.01 0.02 0.02 0.02 0.02 0 0.02 0.03 0.03 0 0.05
"селезень" 0.01 0 0 0 0 0.01 0.08 0.05 0.06 0.01 0 0 0 0 0 0.01 0.04 0.02
"след" 0.01 0 0 0 0.02 0.01 0.02 0.04 0.02 0.03 0.03 0.04 0.01 0.01 0.01 0.02 0.01 0.01
"слезать" 0.01 0 0 0 0.03 0 0.01 0 0.01 0.03 0.03 0.03 0.06 0.01 0.04 0.03 0 0
"снимать" 0.01 0 0.02 0.02 0.02 0.06 0.02 0.01 0.02 0.02 0.03 0 0 0.01 0.01 0.01 0.02 0.01
"солдатушка" 0 0 0 0.06 0.08 0.06 0.01 0 0.01 0 0 0 0.01 0 0 0.02 0.01 0.03
"тяжелый" 0 0 0.02 0.06 0.01 0.01 0.04 0.03 0.02 0 0.02 0.03 0 0.01 0.01 0 0.01 0.02
"чувство" 0 0 0 0 0 0 0 0 0 0.08 0.08 0.06 0.04 0.01 0.02 0 0 0
"шапочка" 0.04 0.04 0.03 0.02 0 0.01 0.04 0.03 0.03 0 0 0 0 0 0 0.01 0.01 0.03
"буря" 0 0 0 0 0.01 0 0 0 0 0.02 0.06 0.05 0.04 0.04 0.06 0 0 0
"верно" 0.02 0.02 0.01 0.02 0 0.02 0.01 0.03 0.01 0 0.03 0.03 0 0.01 0.02 0.04 0.01 0
"вечный" 0.01 0 0 0 0 0 0.01 0 0.01 0.03 0.02 0.11 0.03 0.02 0.03 0.01 0 0
"виноград" 0.01 0.01 0.02 0.03 0.01 0.03 0.04 0.03 0.03 0 0 0.02 0 0 0 0 0.01 0.04
"волюшка" 0.05 0.01 0.03 0.03 0.01 0.02 0 0 0 0 0 0 0.02 0.06 0.01 0.02 0.01 0.01
"гнездо" 0.01 0.01 0.02 0.02 0.06 0 0.01 0.01 0 0 0 0.01 0.01 0.04 0.03 0.01 0.02 0.02
"горемычный" 0.03 0 0.02 0.02 0.02 0.01 0.01 0.02 0.02 0 0 0 0.04 0.06 0.02 0 0.01 0
"громкий" 0 0.02 0.02 0.03 0.05 0.02 0.01 0.01 0.02 0.01 0 0.02 0.01 0 0.02 0.02 0.02 0
"грустно" 0 0 0 0 0 0.03 0 0.02 0.02 0.05 0 0 0.07 0.04 0.03 0 0.02 0
"дождь" 0.03 0.02 0.02 0.03 0.01 0.01 0 0 0 0.01 0 0.03 0 0.04 0.03 0.02 0 0.03
"есть" 0.04 0.03 0.04 0 0.01 0.01 0.02 0.02 0.01 0.02 0 0.01 0 0.01 0 0.04 0.02 0
"запевать" 0.02 0.02 0.02 0 0.01 0.02 0.01 0.01 0.01 0.01 0 0 0.01 0.02 0.05 0.03 0.02 0.02
"иссушать" 0.02 0.02 0.01 0.03 0.01 0.01 0.01 0.03 0.03 0.01 0.01 0 0.01 0.03 0.02 0 0.01 0.02
"литься" 0 0 0 0.02 0 0 0.03 0.03 0.01 0.02 0.02 0.03 0.01 0.06 0.02 0.02 0.01 0
"ломать" 0.04 0.02 0.04 0.01 0.01 0.02 0.03 0.02 0.01 0 0 0 0.01 0 0.01 0.04 0.01 0.01
"молоду" 0.05 0.02 0.02 0 0 0 0.03 0.03 0.04 0 0 0 0 0 0 0.02 0.03 0.04
"мурава" 0.04 0.02 0.04 0 0.03 0.05 0 0 0.01 0.02 0 0 0 0.02 0.01 0.01 0.01 0.02
"надевать" 0.01 0.01 0.01 0.02 0.04 0.02 0.01 0 0.02 0.01 0 0.02 0 0.01 0.01 0.02 0.04 0.03
"неволюшка" 0.01 0.01 0 0.04 0.04 0.05 0.01 0.01 0 0 0 0 0.01 0.03 0.04 0.01 0.01 0.01
"одинокий" 0 0 0 0 0 0 0.01 0.01 0.01 0.04 0.01 0.02 0.07 0.02 0.06 0 0.01 0.02
"отрада" 0 0 0 0 0.01 0 0.02 0.03 0.01 0.02 0.01 0.04 0.05 0.06 0.03 0 0 0
"охота" 0.01 0.05 0.06 0.04 0.03 0 0.03 0.01 0.01 0.02 0 0 0.01 0 0 0 0 0.01
"пробуждаться" 0.01 0.03 0.02 0.01 0.02 0.02 0 0.01 0.01 0.02 0 0 0.02 0.03 0.03 0 0.01 0.04
"радостный" 0 0 0 0.01 0 0.01 0.05 0.03 0.05 0.04 0.01 0 0.01 0.03 0.04 0 0 0
"ряд" 0.02 0.03 0.03 0.03 0.02 0.01 0.01 0.01 0 0.03 0.01 0 0 0.02 0 0.03 0.03 0
"сговаривать" 0.02 0.03 0.01 0.01 0.03 0.02 0.05 0.03 0.06 0 0 0.01 0 0 0 0.01 0 0
"стих" 0 0 0 0 0 0 0 0.01 0 0.05 0.1 0.12 0 0 0 0 0 0
"упасть" 0 0 0 0.01 0 0.03 0.02 0.01 0.02 0.03 0.03 0.03 0.02 0.02 0.01 0.02 0.01 0.02
"хотя" 0 0.01 0 0.01 0 0.01 0.02 0.03 0.02 0.02 0.03 0.03 0.01 0.01 0 0.04 0.02 0.02
"чуж" 0.06 0.04 0.06 0 0 0 0.01 0.01 0.01 0 0 0 0 0.01 0.01 0.02 0.02 0.03
"богатство" 0.04 0.03 0.03 0.02 0.01 0.03 0 0 0 0.02 0.01 0.03 0.03 0.01 0.01 0 0 0
"везти" 0.02 0.01 0.03 0.01 0.01 0.04 0.02 0.01 0.02 0.01 0 0 0 0 0.01 0.03 0.03 0.02
"вечерний" 0.01 0 0 0.04 0.03 0.03 0.01 0 0 0.03 0.03 0 0.01 0.02 0.01 0.03 0.01 0.01
"гром" 0.02 0.01 0.01 0 0 0 0 0 0.01 0.04 0.01 0.05 0.01 0.02 0.06 0 0.02 0.01
"казаться" 0 0 0 0 0 0 0.03 0.03 0.01 0.03 0.04 0.04 0.05 0.01 0.02 0.01 0 0
"крестьянин" 0.05 0.02 0.06 0 0.01 0 0.03 0.03 0.02 0 0 0 0 0 0 0.02 0.03 0
"купец" 0.01 0 0.01 0.01 0.05 0.03 0.01 0.02 0.02 0 0 0.01 0 0.01 0.01 0.03 0.03 0.02
"ласточка" 0.03 0.02 0.01 0.01 0.01 0 0.02 0.02 0 0.01 0 0.02 0.04 0.04 0.02 0.01 0 0.01
"приносить" 0.02 0.03 0.01 0.01 0.02 0.02 0.01 0.03 0.02 0.01 0.03 0 0.03 0 0.01 0 0.01 0.01
"разнести" 0.04 0.05 0.06 0.02 0.01 0 0 0 0 0 0 0.01 0.01 0.01 0 0.03 0.01 0.02
"сорвать" 0.01 0.02 0.02 0.02 0.02 0.04 0.01 0 0.01 0.01 0 0.01 0.02 0.02 0.01 0.02 0.01 0.02
"страшный" 0 0 0 0 0 0 0.01 0.01 0 0.06 0.06 0.02 0.03 0.04 0.03 0 0 0.01
"ходити" 0.02 0 0.02 0 0 0 0.04 0.07 0.09 0 0 0 0 0 0 0 0.03 0
"щека" 0.01 0.01 0.02 0.01 0.02 0.01 0.05 0.01 0.02 0.01 0.01 0 0.02 0.02 0.02 0 0.02 0.01
"аннушка" 0.01 0 0 0 0 0 0.05 0.07 0.05 0 0 0 0.03 0.01 0.01 0 0.02 0.01
"биться" 0.01 0 0.01 0 0.01 0.01 0 0 0 0.03 0.01 0 0.04 0.09 0.04 0 0.01 0
"водить" 0.01 0.04 0.02 0 0 0.01 0.04 0.02 0.01 0.01 0.01 0.02 0.01 0.01 0.01 0.01 0.02 0.01
"выдавать" 0.03 0.02 0.04 0.04 0 0.01 0.02 0.01 0.01 0 0 0.01 0.01 0.01 0.01 0 0.02 0.02
"клятва" 0 0 0 0 0.01 0 0.03 0.02 0.01 0.01 0.02 0.03 0.03 0.05 0.03 0.01 0 0.01
"круг" 0 0 0 0.01 0 0.01 0 0.03 0.01 0.02 0.02 0.02 0.02 0.01 0.02 0.02 0.01 0.06
"луч" 0 0.01 0 0 0 0 0 0 0 0.03 0.02 0.13 0.02 0 0.01 0 0.01 0.03
"махать" 0.01 0.02 0 0.02 0.02 0 0.07 0.04 0.06 0 0 0 0 0 0.01 0.01 0 0
"меньшой" 0.06 0.01 0.02 0.01 0.03 0.01 0.02 0.02 0.02 0 0 0.01 0 0 0 0.03 0 0.02
"палата" 0.03 0.03 0.05 0 0.02 0.01 0.03 0.04 0 0 0 0 0 0 0 0.03 0.01 0.01
"прелестный" 0.01 0.01 0.01 0 0 0 0 0.03 0.04 0.01 0.06 0.06 0.02 0 0.01 0 0 0
"пройти" 0 0 0 0 0.02 0.02 0.02 0.02 0.04 0 0.03 0.01 0.01 0.01 0.05 0.01 0.02 0
"промолвить" 0.01 0.02 0.01 0 0 0.01 0.03 0.02 0.03 0.01 0.01 0.01 0.02 0.03 0.03 0 0.01 0.01
"простой" 0.01 0 0.01 0.02 0.01 0.02 0 0.01 0 0.05 0.01 0.04 0.03 0 0.02 0 0 0.03
"рубашка" 0.02 0.02 0 0.01 0.06 0.02 0 0.03 0.02 0 0 0 0 0 0 0.05 0.02 0.01
"семь" 0.03 0.04 0.03 0.01 0.03 0.02 0 0.01 0.02 0.01 0 0 0 0 0 0.02 0.03 0.01
"скакать" 0.02 0.03 0.03 0.02 0.01 0.01 0.01 0 0.02 0 0.01 0 0 0.02 0.03 0.03 0 0.02
"скука" 0 0.01 0.01 0.02 0 0.02 0.02 0.01 0.01 0.02 0.01 0.02 0.02 0.03 0.01 0.02 0.01 0.02
"толпа" 0 0 0 0.01 0.01 0 0 0 0 0.05 0.11 0.06 0 0.01 0 0.01 0 0
"туман" 0.01 0.02 0.01 0.02 0 0.03 0 0 0.01 0.01 0.04 0.01 0.02 0.02 0.02 0.01 0.01 0.02
"хоромы" 0.06 0.08 0.06 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0.01 0 0.03
"шельма" 0.01 0 0 0.08 0.04 0.06 0 0 0 0 0 0 0 0 0 0.02 0 0.05
"башмачок" 0.03 0.03 0.01 0.02 0 0 0.02 0.04 0.03 0 0 0 0 0 0 0.03 0.02 0.02
"белиться" 0.05 0.04 0.05 0 0 0 0.02 0.03 0.03 0 0 0 0 0 0 0 0.02 0.01
"блистать" 0 0 0 0 0 0 0 0 0 0.06 0.05 0.06 0.04 0.02 0.02 0 0 0
"божий" 0.01 0 0 0 0.01 0 0.01 0.01 0.01 0.02 0.02 0.01 0.06 0.01 0.04 0.01 0.01 0.02
"борода" 0.05 0.06 0.05 0 0.01 0.05 0 0 0 0.01 0 0 0 0 0 0 0.02 0
"вострый" 0 0 0 0.05 0.05 0.04 0.02 0.02 0 0 0.01 0 0 0.01 0 0.01 0.01 0.03
"входить" 0 0 0.02 0.01 0 0.01 0 0.01 0.01 0.03 0.03 0.04 0 0.01 0 0.02 0.03 0.03
"гусь" 0.01 0 0 0.02 0.03 0.02 0.01 0.02 0.01 0 0.01 0.01 0 0 0 0.04 0.04 0.03
"жар" 0.01 0 0 0.02 0.01 0.04 0 0.01 0.01 0.02 0.05 0.02 0.01 0.01 0.01 0.01 0.01 0.01
"заботушка" 0.02 0 0.02 0.01 0.09 0.04 0 0 0 0 0 0 0 0 0 0.01 0.03 0.03
"заниматься" 0.02 0.04 0.02 0 0.01 0.01 0.01 0 0 0 0 0 0.02 0.03 0.01 0.02 0.02 0.04
"казна" 0 0.01 0 0.02 0.05 0.02 0 0 0.01 0 0.01 0 0.01 0.01 0.01 0.01 0.04 0.05
"катенька" 0.01 0 0 0.06 0.05 0.07 0 0 0 0 0 0 0 0 0 0.02 0.03 0.01
"катиться" 0 0 0 0.02 0.01 0.02 0.01 0.01 0.01 0.01 0.02 0.01 0.05 0.06 0.02 0 0 0
"ковать" 0.02 0.03 0.02 0.01 0 0.03 0.01 0.04 0.03 0 0 0 0 0 0 0.05 0.01 0
"лавочка" 0.02 0.04 0.04 0.02 0.01 0.03 0 0 0 0 0 0 0 0 0 0.02 0.03 0.04
"молиться" 0.02 0.03 0.01 0.03 0.01 0.01 0 0 0.01 0.03 0.02 0.03 0.01 0 0 0.01 0.02 0.01
"подумать" 0.01 0 0.01 0.02 0.02 0.01 0.02 0.01 0.02 0.01 0.02 0.02 0.01 0 0.01 0.01 0.04 0.01
"показываться" 0.02 0.02 0.01 0 0.02 0.01 0.04 0.02 0.03 0 0 0.01 0.01 0.02 0.01 0.02 0.01 0
"похаживать" 0.03 0.01 0.01 0 0.04 0 0.02 0.01 0.02 0 0 0 0.01 0 0.01 0.02 0.04 0.03
"призадумываться" 0 0 0.02 0.03 0.02 0 0.03 0.01 0.01 0 0.01 0 0.03 0.02 0.05 0.01 0.01 0
"рвать" 0.02 0.01 0.01 0 0.02 0.01 0 0.01 0.01 0.02 0 0.01 0.01 0.02 0.03 0.03 0.03 0.01
"рыба" 0.04 0.02 0.02 0 0.04 0.01 0 0.02 0.01 0.01 0 0.01 0 0 0 0.02 0.02 0.03
"рыдать" 0.02 0.02 0.05 0.04 0.03 0.01 0 0 0 0 0 0 0.02 0.02 0.01 0.03 0 0
"седой" 0.03 0.02 0.01 0.01 0.02 0.03 0 0 0 0.02 0.01 0.04 0.01 0.03 0.02 0 0 0
"скала" 0 0 0 0 0 0 0 0 0 0.06 0.1 0.04 0.01 0.01 0.02 0 0 0.01
"скрывать" 0.04 0.01 0.01 0 0 0.01 0 0 0 0.02 0.05 0.01 0.02 0.01 0.03 0 0.02 0.02
"слыхать" 0.02 0.02 0 0 0.01 0 0.03 0.03 0.03 0.01 0 0.01 0.01 0 0.02 0.02 0.01 0.03
"сто" 0 0 0 0.03 0.03 0.04 0.01 0.02 0.03 0.01 0.02 0.01 0 0 0 0.01 0.03 0.01
"стыдно" 0.04 0.04 0.03 0.01 0.02 0.04 0.01 0 0.01 0 0 0.02 0.01 0.01 0 0.01 0 0
"торг" 0.03 0.01 0.01 0 0.03 0.01 0.02 0.02 0.02 0 0 0 0 0 0 0.02 0.01 0.07
"тосковать" 0.02 0.01 0.01 0.02 0 0 0 0.01 0.01 0.02 0.01 0.04 0.04 0.01 0.03 0.02 0 0
"утешать" 0.01 0.02 0.04 0 0 0.01 0.03 0.03 0.03 0.01 0.01 0 0 0.02 0.02 0 0.01 0.01
"ахти" 0 0 0 0 0.01 0 0.01 0.03 0.02 0 0 0 0.04 0.04 0.08 0 0 0.01
"везде" 0 0 0 0 0 0.01 0.02 0.04 0 0.03 0.05 0.05 0 0.01 0.03 0 0 0
"враг" 0 0 0 0 0 0 0 0 0 0.03 0.07 0.07 0.01 0.04 0.02 0 0 0
"девчоночка" 0.03 0.04 0.02 0.02 0.02 0.01 0.01 0.02 0.02 0 0 0 0 0 0 0.02 0.01 0.02
"дождаться" 0 0 0 0.01 0.01 0 0.01 0.01 0.03 0.02 0 0.01 0.03 0.03 0.04 0.03 0.01 0
"дон" 0 0 0 0.01 0.01 0.04 0.02 0.01 0.01 0.01 0.01 0 0.02 0.01 0.01 0.02 0.04 0.02
"доска" 0.01 0.01 0.02 0.01 0 0.02 0 0.01 0.01 0.03 0 0.02 0.01 0.03 0.03 0.02 0 0.01
"ерема" 0 0 0 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0 0.05 0.09 0.06
"здоровье" 0.03 0.02 0.02 0 0 0 0.05 0.05 0.03 0 0.01 0.01 0 0 0 0.01 0 0.01
"изменять" 0 0 0 0 0.01 0.01 0.03 0.05 0.01 0.01 0.02 0.03 0.03 0 0.02 0.01 0 0.01
"камушек" 0 0.02 0.01 0.03 0.01 0.06 0.02 0.02 0.01 0 0 0 0 0 0 0.01 0.03 0.02
"клясться" 0 0 0.01 0.01 0.01 0 0.03 0.03 0.02 0.02 0 0.01 0.04 0.02 0.03 0 0 0.01
"кормить" 0 0 0.02 0.01 0.05 0.01 0.02 0.02 0.03 0 0 0 0.02 0.03 0.01 0.01 0 0.01
"лен" 0 0.01 0.01 0.01 0.02 0.03 0 0 0 0 0.01 0 0 0.02 0.01 0.05 0.03 0.04
"мало" 0 0 0 0.03 0.04 0.02 0 0 0 0.02 0.02 0.03 0.01 0 0 0.03 0 0.04
"манить" 0.01 0 0 0 0.02 0.01 0.01 0.02 0 0 0.03 0.03 0.01 0.04 0.04 0 0 0.02
"нанимать" 0.01 0.02 0.02 0.03 0.02 0.03 0 0.02 0.02 0.01 0 0.01 0 0 0 0.03 0.01 0.01
"написать" 0 0 0 0.03 0.02 0.02 0.02 0.02 0.01 0.02 0.02 0.02 0.02 0 0 0.01 0.02 0.01
"низко" 0.01 0.01 0.01 0.03 0.03 0.02 0.02 0.02 0.02 0 0 0 0 0 0.01 0.03 0.02 0.01
"нужда" 0.01 0 0.01 0.02 0.01 0.01 0.01 0 0.02 0.03 0.03 0.03 0.02 0.02 0.01 0.01 0 0
"огород" 0 0.01 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.01 0 0 0 0 0 0.03 0.01 0.04
"пахать" 0.03 0.03 0.03 0 0.02 0 0.02 0 0.01 0 0 0 0.01 0.02 0 0.03 0.03 0.01
"подносить" 0 0.01 0.01 0.02 0.02 0 0.01 0.01 0.03 0.01 0 0 0 0.02 0 0.04 0.02 0.04
"позволять" 0.02 0.01 0 0 0 0.01 0.02 0.02 0.02 0.03 0.01 0.02 0 0.01 0 0.03 0.01 0.03
"покрывать" 0.01 0.01 0.04 0.01 0.01 0 0.01 0 0 0.03 0.01 0.02 0.01 0.03 0.01 0.01 0 0.03
"порождать" 0.03 0.01 0.01 0.03 0 0.04 0.02 0.01 0.02 0 0.01 0 0 0 0 0.01 0.03 0.02
"поход" 0 0 0 0.03 0.03 0.02 0.04 0.02 0.02 0.01 0.02 0 0.01 0.01 0 0 0.02 0.01
"просыпаться" 0.01 0.02 0 0.07 0.01 0.01 0 0 0 0.03 0.02 0.02 0 0.02 0.01 0.01 0.01 0
"протекать" 0 0 0 0.01 0.03 0.03 0.02 0.03 0.01 0.01 0 0.03 0 0 0 0.02 0.03 0.02
"против" 0.01 0.02 0 0.01 0.01 0.02 0.02 0.01 0.01 0.01 0.01 0.02 0.01 0 0.01 0.03 0.02 0.02
"раздолье" 0.02 0.02 0.03 0.02 0.02 0 0.01 0.01 0.01 0.01 0.01 0.01 0 0.04 0.01 0.01 0 0.01
"ракитовый" 0.02 0.01 0.01 0.05 0.04 0.02 0.01 0.01 0.01 0 0 0 0 0 0 0 0.01 0.05
"розовый" 0.04 0.03 0.04 0.01 0.01 0.01 0.02 0.01 0.03 0 0 0.01 0.01 0 0 0 0.01 0.01
"свистать" 0.02 0.01 0 0 0.02 0.01 0 0.01 0 0.02 0.01 0.01 0.03 0.04 0.02 0.02 0.02 0
